Respondent_ID,Age,Gender,Region,Segment,Primary_Passion,Secondary_Passion,Key_Behavior_1,Key_Behavior_2,Social_Media_Hours_Day,Online_Shopping_Month,Avg_Order_Value,Brand_Switches_Year,Influencer_Trust,Sustainability_Score,Price_Sensitivity,Quality_Willingness_Pay,Experience_Over_Things,TikTok_User,Instagram_User,YouTube_Hours_Week,Podcast_Listener,Traditional_TV,Fast_Fashion_Buyer,Resale_Platform_User,Subscription_Services,Impulse_Buyer_Score
GZ00015,25,Female,Territories,Wellness Focused,Fitness,Mental Health,Premium health products,Self-care priority,2.6,19,35.02,11,3,3,3,4,5,1,1,28.6,0,1,0,1,0,5
GZ00016,18,Non-binary,Saskatchewan,Eco Warriors,Activism,Sustainability,Buy sustainable,Conscious consumption,7.7,16,197.09,10,5,2,3,2,4,0,1,18.5,1,1,0,0,3,2
GZ00017,18,Female,Territories,Experience Seekers,Music Festivals,Adventure,Spend on experiences,FOMO-driven,4.4,15,124.04,5,4,3,4,2,4,0,0,5.1,1,1,0,0,3,4
GZ00018,22,Male,Alberta,Creative Expressors,Fashion,Self-Expression,Brand as identity,Unique purchases,4.6,8,185.76,4,2,2,5,4,3,0,1,26.6,1,1,1,0,4,4
GZ00019,19,Female,Alberta,Wellness Focused,Mental Health,Fitness,Premium health products,Self-care priority,2.8,15,108.83,6,3,1,1,1,5,1,0,12.4,0,1,1,0,4,1
GZ00020,21,Female,British Columbia,Creative Expressors,Art,Fashion,Brand as identity,Unique purchases,5.6,10,94.2,12,5,4,5,4,2,0,1,27.5,0,0,1,1,4,1
GZ00021,20,Female,Manitoba,Eco Warriors,Activism,Sustainability,Buy sustainable,Conscious consumption,5.8,5,90.92,1,5,1,1,4,4,1,1,18.0,1,1,1,1,2,5
GZ00022,22,Male,Atlantic,Digital Natives,Social Media,Gaming,High online shopping,Influencer-driven,6.3,16,79.57,1,2,5,2,2,5,0,1,9.2,0,1,0,1,6,2
GZ00023,19,Male,Quebec,Creative Expressors,Fashion,Music,Brand as identity,Unique purchases,4.3,16,146.57,14,2,3,1,1,3,0,0,18.8,0,1,0,1,3,1
GZ00024,25,Non-binary,Alberta,Experience Seekers,Food,Travel,Spend on experiences,FOMO-driven,2.4,8,161.81,0,2,4,1,2,3,0,1,20.8,0,1,0,0,4,3
GZ00025,22,Non-binary,Territories,Digital Natives,Social Media,Social Media,High online shopping,Influencer-driven,3.2,6,88.23,11,1,1,1,3,1,0,1,18.9,1,0,0,0,1,4
GZ00026,18,Non-binary,Quebec,Digital Natives,Tech,Tech,High online shopping,Influencer-driven,2.1,6,113.55,4,5,2,5,5,2,0,1,21.9,1,1,1,1,6,3
GZ00027,24,Non-binary,Territories,Experience Seekers,Travel,Food,Spend on experiences,FOMO-driven,7.6,7,91.45,4,1,4,1,1,5,0,0,16.7,0,1,0,0,3,3
GZ00028,19,Non-binary,Atlantic,Experience Seekers,Food,Adventure,Spend on experiences,FOMO-driven,3.9,5,145.35,5,3,1,4,3,5,1,0,10.8,0,0,1,0,7,3
GZ00029,24,Male,Saskatchewan,Wellness Focused,Mindfulness,Mental Health,Premium health products,Self-care priority,4.3,8,181.05,2,3,2,5,1,5,0,1,26.5,0,0,0,1,7,5
GZ00030,20,Female,Territories,Experience Seekers,Music Festivals,Adventure,Spend on experiences,FOMO-driven,2.9,15,191.31,12,5,2,2,5,3,0,1,18.2,1,1,0,1,2,1
GZ00031,18,Non-binary,Quebec,Side Hustlers,Entrepreneurship,Finance,Value-conscious,ROI-focused,2.0,3,132.4,11,2,2,4,3,2,0,1,15.2,0,0,0,0,5,5
GZ00032,22,Male,Territories,Creative Expressors,Art,Self-Expression,Brand as identity,Unique purchases,6.6,11,149.53,0,5,3,4,3,2,1,1,22.6,0,0,0,1,6,5
GZ00033,18,Non-binary,Alberta,Eco Warriors,Activism,Sustainability,Buy sustainable,Conscious consumption,5.7,12,74.31,7,2,4,3,2,5,0,0,6.6,1,1,1,0,0,3
GZ00034,19,Female,Ontario,Digital Natives,Social Media,Tech,High online shopping,Influencer-driven,6.4,19,72.03,13,1,2,2,3,2,0,1,26.3,1,1,1,0,4,3
GZ00035,21,Non-binary,Atlantic,Experience Seekers,Music Festivals,Travel,Spend on experiences,FOMO-driven,6.8,15,49.62,8,4,5,5,5,4,0,1,20.2,1,0,0,0,0,3
GZ00036,20,Female,Quebec,Experience Seekers,Adventure,Food,Spend on experiences,FOMO-driven,2.8,10,166.64,7,2,2,5,4,3,0,0,9.5,1,0,1,1,5,3
GZ00037,25,Male,Quebec,Wellness Focused,Mental Health,Mental Health,Premium health products,Self-care priority,2.6,10,91.68,0,5,2,4,5,3,1,0,9.4,0,1,0,1,3,4
GZ00038,25,Female,Quebec,Experience Seekers,Music Festivals,Food,Spend on experiences,FOMO-driven,4.1,12,154.69,2,5,4,4,1,5,1,0,28.8,0,1,1,0,2,5
GZ00039,24,Non-binary,Alberta,Digital Natives,Gaming,Tech,High online shopping,Influencer-driven,7.4,4,155.39,9,3,4,2,1,2,1,1,19.3,0,1,1,1,2,4
GZ00040,23,Non-binary,Territories,Side Hustlers,Finance,Personal Growth,Value-conscious,ROI-focused,7.9,13,65.74,3,1,4,5,4,4,0,0,17.1,0,1,1,0,3,2
GZ00041,25,Non-binary,Quebec,Experience Seekers,Adventure,Adventure,Spend on experiences,FOMO-driven,4.6,12,132.66,4,2,1,3,1,1,0,0,24.3,0,0,1,0,7,5
GZ00042,25,Female,Ontario,Wellness Focused,Mindfulness,Mental Health,Premium health products,Self-care priority,7.9,14,147.53,14,4,5,2,3,3,0,1,23.5,0,1,0,0,4,5
GZ00043,21,Male,British Columbia,Experience Seekers,Music Festivals,Food,Spend on experiences,FOMO-driven,6.2,19,175.85,7,5,3,1,3,4,0,0,5.5,0,1,0,0,4,5
GZ00044,21,Male,Atlantic,Creative Expressors,Fashion,Fashion,Brand as identity,Unique purchases,3.6,18,181.29,11,2,4,2,5,1,0,0,23.2,0,1,1,1,3,3
GZ00045,23,Female,Manitoba,Eco Warriors,Environment,Sustainability,Buy sustainable,Conscious consumption,3.4,18,167.28,0,3,3,1,5,1,0,1,26.9,0,1,0,1,2,3
GZ00046,20,Female,Saskatchewan,Wellness Focused,Fitness,Fitness,Premium health products,Self-care priority,5.1,16,59.29,5,2,4,5,5,3,1,0,17.1,1,1,1,0,2,1
GZ00047,23,Non-binary,Manitoba,Side Hustlers,Entrepreneurship,Personal Growth,Value-conscious,ROI-focused,2.7,17,158.71,0,2,2,3,3,5,1,1,13.5,0,0,0,1,0,3
GZ00048,24,Female,Manitoba,Digital Natives,Social Media,Streaming,High online shopping,Influencer-driven,3.1,2,71.09,12,2,1,2,3,4,1,0,5.7,0,0,1,0,1,1
GZ00049,20,Male,Ontario,Creative Expressors,Music,Fashion,Brand as identity,Unique purchases,2.6,8,116.68,5,2,5,1,1,3,1,1,23.9,1,0,0,0,3,3
GZ00050,25,Male,Alberta,Creative Expressors,Self-Expression,Self-Expression,Brand as identity,Unique purchases,7.4,15,40.34,0,5,2,1,2,1,1,1,12.8,1,0,0,1,6,1
GZ00051,18,Male,Atlantic,Eco Warriors,Sustainability,Organic Food,Buy sustainable,Conscious consumption,3.8,8,37.4,3,4,2,3,3,1,0,0,23.6,0,0,0,1,4,2
GZ00052,24,Female,British Columbia,Eco Warriors,Organic Food,Sustainability,Buy sustainable,Conscious consumption,7.4,6,185.19,7,5,3,2,4,2,1,1,28.7,0,0,1,1,7,5
GZ00053,25,Male,Manitoba,Eco Warriors,Environment,Environment,Buy sustainable,Conscious consumption,5.8,2,48.28,10,3,2,3,5,3,1,0,17.3,1,1,0,1,6,4
GZ00054,22,Non-binary,Manitoba,Wellness Focused,Fitness,Mindfulness,Premium health products,Self-care priority,6.0,15,116.23,4,2,5,5,2,4,1,1,28.6,0,1,0,0,1,4
GZ00055,21,Non-binary,British Columbia,Wellness Focused,Nutrition,Nutrition,Premium health products,Self-care priority,4.5,7,37.2,2,2,1,3,1,1,0,1,9.8,1,0,1,0,1,3
GZ00056,24,Female,British Columbia,Side Hustlers,Personal Growth,Personal Growth,Value-conscious,ROI-focused,3.9,10,136.48,1,2,1,4,1,2,1,0,29.7,0,1,1,1,2,5
GZ00057,25,Male,Saskatchewan,Experience Seekers,Travel,Adventure,Spend on experiences,FOMO-driven,5.0,16,40.59,6,3,2,4,1,2,1,1,29.1,0,1,1,0,5,5
GZ00058,24,Non-binary,Alberta,Side Hustlers,Entrepreneurship,Entrepreneurship,Value-conscious,ROI-focused,4.4,16,42.01,6,4,1,5,3,1,1,1,25.8,0,1,0,1,1,1
GZ00059,18,Non-binary,Atlantic,Experience Seekers,Adventure,Adventure,Spend on experiences,FOMO-driven,2.4,5,60.26,6,5,4,1,1,2,1,1,22.2,1,1,0,1,3,2
GZ00060,19,Male,Territories,Creative Expressors,Art,Self-Expression,Brand as identity,Unique purchases,3.3,11,113.93,1,5,1,3,5,3,0,0,20.8,1,1,0,0,4,4
GZ00061,20,Male,Manitoba,Digital Natives,Tech,Gaming,High online shopping,Influencer-driven,7.9,19,151.16,7,3,5,5,1,5,1,1,11.8,1,1,1,1,1,5
GZ00062,19,Female,Ontario,Creative Expressors,Fashion,Art,Brand as identity,Unique purchases,4.8,14,173.94,6,5,1,2,2,3,1,0,8.3,0,1,1,1,2,2
GZ00063,23,Non-binary,British Columbia,Experience Seekers,Music Festivals,Food,Spend on experiences,FOMO-driven,3.3,9,61.4,1,4,5,4,4,5,0,1,17.4,1,1,0,1,1,3
GZ00064,18,Male,Saskatchewan,Experience Seekers,Adventure,Adventure,Spend on experiences,FOMO-driven,5.2,14,150.46,12,5,1,4,5,3,0,1,26.4,1,1,0,0,7,2
GZ00065,19,Non-binary,Manitoba,Creative Expressors,Music,Self-Expression,Brand as identity,Unique purchases,6.8,15,40.21,2,4,3,3,1,1,0,1,10.9,0,1,1,0,3,3
GZ00066,24,Male,British Columbia,Experience Seekers,Food,Travel,Spend on experiences,FOMO-driven,5.6,3,70.92,6,2,4,3,2,2,0,1,20.4,1,1,0,1,4,4
GZ00067,25,Non-binary,Quebec,Experience Seekers,Adventure,Music Festivals,Spend on experiences,FOMO-driven,7.2,3,43.54,6,4,4,4,1,3,1,0,9.5,1,0,1,0,3,5
GZ00068,24,Non-binary,Saskatchewan,Experience Seekers,Music Festivals,Travel,Spend on experiences,FOMO-driven,7.0,11,160.73,2,2,2,3,4,5,0,0,28.2,0,0,1,1,3,1
GZ00069,25,Female,Quebec,Side Hustlers,Finance,Entrepreneurship,Value-conscious,ROI-focused,6.8,8,162.45,4,5,5,3,5,1,1,1,25.8,0,1,1,1,3,4
GZ00070,21,Female,Territories,Side Hustlers,Entrepreneurship,Finance,Value-conscious,ROI-focused,7.1,10,73.26,5,3,4,5,5,2,1,1,26.6,1,0,0,0,0,3
GZ00071,24,Female,Alberta,Creative Expressors,Fashion,Fashion,Brand as identity,Unique purchases,5.8,3,129.78,13,1,3,2,5,4,1,0,24.2,1,1,1,0,7,5
GZ00072,19,Male,Quebec,Eco Warriors,Environment,Environment,Buy sustainable,Conscious consumption,4.6,5,76.52,4,3,3,5,3,5,0,1,27.6,1,1,0,1,0,2
GZ00073,20,Non-binary,Ontario,Creative Expressors,Self-Expression,Music,Brand as identity,Unique purchases,6.6,10,46.85,3,5,4,4,5,3,0,1,18.0,1,1,1,1,3,1
GZ00074,22,Female,British Columbia,Wellness Focused,Mindfulness,Mental Health,Premium health products,Self-care priority,7.5,16,175.28,14,3,5,1,4,4,1,0,20.2,1,1,1,0,4,2
GZ00075,21,Non-binary,Territories,Side Hustlers,Learning,Personal Growth,Value-conscious,ROI-focused,5.2,13,159.51,1,5,4,4,3,3,1,1,13.9,1,1,0,1,5,1
GZ00076,24,Non-binary,Saskatchewan,Side Hustlers,Finance,Personal Growth,Value-conscious,ROI-focused,3.7,2,197.43,6,1,4,2,4,3,0,1,9.8,1,1,0,0,2,4
GZ00077,18,Female,Territories,Wellness Focused,Mindfulness,Mindfulness,Premium health products,Self-care priority,3.7,18,133.54,14,3,3,2,5,3,1,0,5.0,1,0,0,1,4,5
GZ00078,20,Female,Saskatchewan,Wellness Focused,Fitness,Nutrition,Premium health products,Self-care priority,2.2,8,125.85,13,2,2,4,1,2,1,1,14.6,0,1,0,0,0,2
GZ00079,20,Female,Alberta,Experience Seekers,Music Festivals,Travel,Spend on experiences,FOMO-driven,5.2,11,170.97,4,1,5,2,1,5,0,0,7.9,0,1,0,1,3,5
GZ00080,21,Female,Saskatchewan,Experience Seekers,Music Festivals,Music Festivals,Spend on experiences,FOMO-driven,7.9,6,85.03,10,4,4,3,2,2,1,1,17.8,1,0,1,1,3,3
GZ00081,24,Male,Saskatchewan,Experience Seekers,Music Festivals,Music Festivals,Spend on experiences,FOMO-driven,2.7,2,76.27,9,5,2,2,5,4,0,1,6.5,1,0,0,0,1,2
GZ00082,21,Female,Ontario,Experience Seekers,Travel,Travel,Spend on experiences,FOMO-driven,3.8,5,47.02,9,1,2,4,3,1,0,0,12.8,1,1,1,0,2,3
GZ00083,23,Non-binary,Atlantic,Digital Natives,Streaming,Gaming,High online shopping,Influencer-driven,4.4,15,176.54,13,4,4,4,3,5,0,0,17.1,1,0,1,1,4,2
GZ00084,19,Female,Quebec,Wellness Focused,Nutrition,Nutrition,Premium health products,Self-care priority,7.7,9,163.21,13,2,4,5,1,2,1,1,15.4,1,0,1,1,5,1
GZ00085,21,Male,Manitoba,Creative Expressors,Self-Expression,Self-Expression,Brand as identity,Unique purchases,3.5,5,115.23,7,3,3,5,2,4,1,1,16.1,0,0,1,0,1,5
GZ00086,21,Female,Saskatchewan,Experience Seekers,Food,Travel,Spend on experiences,FOMO-driven,5.3,9,123.8,7,3,1,5,2,4,0,1,26.6,0,0,0,0,4,5
GZ00087,22,Male,British Columbia,Creative Expressors,Self-Expression,Self-Expression,Brand as identity,Unique purchases,4.8,7,95.74,9,4,2,4,4,5,1,0,9.1,1,1,1,0,3,5
GZ00088,20,Non-binary,Atlantic,Side Hustlers,Finance,Finance,Value-conscious,ROI-focused,3.6,17,161.66,1,4,1,1,4,3,0,1,24.4,0,1,0,0,0,2
GZ00089,21,Non-binary,Atlantic,Digital Natives,Tech,Gaming,High online shopping,Influencer-driven,2.2,3,144.89,14,1,2,5,1,3,1,1,18.6,1,1,0,0,5,2
GZ00090,25,Non-binary,Quebec,Side Hustlers,Personal Growth,Learning,Value-conscious,ROI-focused,5.9,9,51.83,12,5,5,5,4,3,1,0,11.5,1,1,1,1,7,2
GZ00091,23,Male,Alberta,Eco Warriors,Organic Food,Organic Food,Buy sustainable,Conscious consumption,6.1,5,95.32,5,1,4,4,2,5,1,0,25.2,0,0,0,1,7,3
GZ00092,20,Male,Saskatchewan,Creative Expressors,Art,Self-Expression,Brand as identity,Unique purchases,3.7,12,88.46,4,2,4,4,4,4,1,1,7.5,1,1,1,0,3,4
GZ00093,23,Male,Alberta,Eco Warriors,Organic Food,Sustainability,Buy sustainable,Conscious consumption,6.7,17,195.39,11,2,5,3,1,5,0,0,21.6,0,1,1,0,0,1
GZ00094,23,Female,Saskatchewan,Experience Seekers,Travel,Food,Spend on experiences,FOMO-driven,3.7,11,191.67,0,2,3,1,2,2,0,1,21.2,0,0,1,1,4,4
GZ00095,18,Non-binary,Ontario,Experience Seekers,Food,Travel,Spend on experiences,FOMO-driven,2.2,10,141.73,11,2,1,2,4,1,0,1,29.4,1,1,0,1,2,4
GZ00096,25,Female,British Columbia,Wellness Focused,Mental Health,Mental Health,Premium health products,Self-care priority,6.6,16,119.82,6,3,1,4,2,5,0,0,12.4,1,0,0,0,7,2
GZ00097,21,Non-binary,Quebec,Eco Warriors,Organic Food,Activism,Buy sustainable,Conscious consumption,3.2,3,48.04,10,1,4,2,5,3,0,1,12.2,0,0,1,0,2,1
GZ00098,18,Non-binary,Saskatchewan,Digital Natives,Tech,Social Media,High online shopping,Influencer-driven,2.0,17,161.98,10,3,3,3,1,2,0,0,21.5,0,0,1,0,3,2
GZ00099,19,Male,Manitoba,Wellness Focused,Fitness,Fitness,Premium health products,Self-care priority,4.5,8,61.66,11,4,1,2,1,2,1,1,8.7,0,0,0,0,7,2
GZ00100,20,Non-binary,Saskatchewan,Experience Seekers,Food,Music Festivals,Spend on experiences,FOMO-driven,5.7,13,87.74,10,4,4,1,1,5,0,0,5.3,1,0,0,0,3,5
GZ00101,24,Female,Manitoba,Digital Natives,Gaming,Tech,High online shopping,Influencer-driven,6.1,10,163.1,5,1,4,5,5,3,1,0,13.4,0,0,1,1,6,3
GZ00102,25,Non-binary,Manitoba,Side Hustlers,Personal Growth,Personal Growth,Value-conscious,ROI-focused,2.9,18,41.96,10,5,1,2,3,4,1,1,9.2,1,0,1,1,0,5
GZ00103,25,Male,British Columbia,Experience Seekers,Travel,Music Festivals,Spend on experiences,FOMO-driven,3.1,6,99.43,3,1,1,5,2,1,1,1,21.9,1,0,0,1,6,3
GZ00104,25,Non-binary,Quebec,Experience Seekers,Travel,Travel,Spend on experiences,FOMO-driven,2.1,7,139.75,4,2,2,3,2,1,1,0,12.4,1,1,0,0,0,5
GZ00105,21,Non-binary,British Columbia,Digital Natives,Social Media,Streaming,High online shopping,Influencer-driven,7.9,19,45.91,9,1,4,4,2,2,0,0,28.3,1,0,1,0,0,4
GZ00106,24,Non-binary,Quebec,Eco Warriors,Activism,Organic Food,Buy sustainable,Conscious consumption,7.5,13,190.43,12,5,5,3,3,1,1,0,20.0,1,1,0,0,2,5
GZ00107,18,Male,Manitoba,Side Hustlers,Learning,Entrepreneurship,Value-conscious,ROI-focused,3.6,10,89.69,12,4,4,5,3,2,0,0,13.8,1,0,0,1,4,1
GZ00108,25,Male,British Columbia,Wellness Focused,Mindfulness,Fitness,Premium health products,Self-care priority,3.2,7,43.86,6,3,5,5,1,4,0,0,24.7,0,0,0,1,2,5
GZ00109,23,Non-binary,Saskatchewan,Experience Seekers,Adventure,Music Festivals,Spend on experiences,FOMO-driven,3.0,19,72.28,2,1,1,4,2,1,1,0,29.2,1,0,0,1,4,1
GZ00110,18,Female,Saskatchewan,Digital Natives,Social Media,Gaming,High online shopping,Influencer-driven,5.1,5,42.57,10,1,4,2,3,4,1,0,6.6,0,1,0,1,0,1
GZ00111,20,Female,Ontario,Digital Natives,Social Media,Social Media,High online shopping,Influencer-driven,4.4,8,71.34,7,2,1,4,4,2,1,0,28.9,1,1,1,1,4,4
GZ00112,20,Female,Atlantic,Experience Seekers,Food,Travel,Spend on experiences,FOMO-driven,5.1,14,137.45,1,4,4,1,4,4,0,1,26.1,0,1,1,1,3,4
GZ00113,20,Female,Alberta,Creative Expressors,Art,Art,Brand as identity,Unique purchases,7.4,15,77.75,5,5,1,3,1,3,1,1,15.2,1,1,0,0,7,5
GZ00114,22,Non-binary,Territories,Side Hustlers,Learning,Learning,Value-conscious,ROI-focused,6.6,16,63.17,5,1,3,5,5,5,1,1,15.9,0,0,0,1,4,2
GZ00115,22,Male,Atlantic,Creative Expressors,Music,Music,Brand as identity,Unique purchases,3.9,8,112.07,6,4,2,5,4,3,0,0,20.8,0,0,1,0,4,3
GZ00116,23,Female,Manitoba,Experience Seekers,Adventure,Travel,Spend on experiences,FOMO-driven,7.2,3,122.46,9,4,5,2,4,4,0,0,28.4,0,0,1,0,5,4
GZ00117,25,Non-binary,Manitoba,Creative Expressors,Fashion,Music,Brand as identity,Unique purchases,5.2,10,118.83,14,2,5,5,3,1,0,1,27.5,1,0,0,1,0,5
GZ00118,24,Non-binary,Ontario,Wellness Focused,Nutrition,Mental Health,Premium health products,Self-care priority,4.4,18,168.79,0,3,5,1,1,1,1,1,9.5,0,0,1,0,1,4
GZ00119,24,Female,Territories,Creative Expressors,Music,Art,Brand as identity,Unique purchases,5.5,2,37.12,3,1,1,4,2,4,1,0,16.2,0,1,1,0,6,3
GZ00120,19,Female,Atlantic,Side Hustlers,Learning,Personal Growth,Value-conscious,ROI-focused,3.4,2,121.96,11,2,3,5,2,4,1,0,7.9,0,1,0,0,7,5
GZ00121,25,Male,Ontario,Side Hustlers,Entrepreneurship,Finance,Value-conscious,ROI-focused,5.2,8,50.75,11,1,4,2,2,5,0,0,22.2,1,0,0,1,4,1
GZ00122,20,Non-binary,Saskatchewan,Side Hustlers,Learning,Personal Growth,Value-conscious,ROI-focused,5.0,4,67.19,5,5,4,5,1,3,1,1,23.0,1,1,0,1,3,2
GZ00123,20,Female,Alberta,Experience Seekers,Adventure,Food,Spend on experiences,FOMO-driven,4.2,6,119.29,5,3,2,5,5,1,1,1,27.7,1,1,0,0,0,2
GZ00124,25,Female,Alberta,Eco Warriors,Sustainability,Activism,Buy sustainable,Conscious consumption,6.7,12,106.65,3,4,2,5,4,2,1,1,7.1,1,0,1,1,7,5
GZ00125,20,Non-binary,Territories,Side Hustlers,Personal Growth,Entrepreneurship,Value-conscious,ROI-focused,3.3,11,32.63,3,1,3,5,2,4,0,1,28.0,1,0,1,1,7,5
GZ00126,20,Male,Quebec,Experience Seekers,Adventure,Adventure,Spend on experiences,FOMO-driven,5.5,18,36.14,7,3,3,5,2,1,1,1,15.1,0,1,1,1,6,5
GZ00127,22,Male,Saskatchewan,Experience Seekers,Adventure,Food,Spend on experiences,FOMO-driven,6.6,10,141.04,11,5,1,4,2,5,0,1,28.5,1,1,0,0,3,1
GZ00128,24,Non-binary,Alberta,Digital Natives,Streaming,Social Media,High online shopping,Influencer-driven,2.9,2,192.67,3,1,4,3,5,2,0,0,28.0,1,0,0,0,6,4
GZ00129,25,Female,Territories,Creative Expressors,Music,Music,Brand as identity,Unique purchases,7.6,9,179.97,1,4,2,4,4,4,1,0,21.1,0,1,0,1,1,4
GZ00130,22,Non-binary,British Columbia,Creative Expressors,Self-Expression,Self-Expression,Brand as identity,Unique purchases,4.8,18,70.95,8,3,1,5,4,2,1,0,6.7,1,1,0,0,4,2
GZ00131,20,Non-binary,Ontario,Creative Expressors,Fashion,Art,Brand as identity,Unique purchases,3.9,5,81.69,12,4,1,1,4,2,0,0,29.1,1,0,0,1,3,1
GZ00132,25,Female,Alberta,Eco Warriors,Organic Food,Activism,Buy sustainable,Conscious consumption,7.3,15,62.22,13,4,4,1,1,4,1,1,22.3,0,1,1,1,1,3
GZ00133,22,Female,Ontario,Experience Seekers,Food,Music Festivals,Spend on experiences,FOMO-driven,5.0,15,190.91,12,1,1,2,1,4,0,1,7.8,0,1,1,1,5,3
GZ00134,20,Female,British Columbia,Creative Expressors,Self-Expression,Music,Brand as identity,Unique purchases,5.0,14,32.84,6,1,1,5,3,4,0,1,10.6,0,1,1,0,5,4
GZ00135,25,Non-binary,British Columbia,Digital Natives,Streaming,Tech,High online shopping,Influencer-driven,4.8,5,32.06,3,2,4,1,4,5,1,0,27.8,1,0,0,0,5,2
GZ00136,20,Female,Alberta,Experience Seekers,Music Festivals,Travel,Spend on experiences,FOMO-driven,6.3,17,47.86,10,4,1,3,5,3,1,1,19.1,1,1,0,0,6,5
GZ00137,23,Female,British Columbia,Eco Warriors,Activism,Organic Food,Buy sustainable,Conscious consumption,6.0,15,76.2,1,5,1,3,1,2,0,1,29.7,1,1,1,1,3,2
GZ00138,18,Female,Ontario,Creative Expressors,Self-Expression,Art,Brand as identity,Unique purchases,6.0,19,195.01,0,1,1,5,1,4,1,1,12.1,0,0,0,1,4,4
GZ00139,21,Female,Saskatchewan,Wellness Focused,Fitness,Mental Health,Premium health products,Self-care priority,7.7,2,187.49,9,2,4,3,1,3,1,1,11.3,0,1,0,1,1,4
GZ00140,23,Non-binary,Quebec,Eco Warriors,Activism,Organic Food,Buy sustainable,Conscious consumption,2.6,11,150.89,4,5,1,5,4,1,0,0,24.2,1,1,1,1,4,4
GZ00141,25,Female,Saskatchewan,Wellness Focused,Mindfulness,Nutrition,Premium health products,Self-care priority,5.7,6,113.79,13,2,1,2,4,4,0,1,14.2,0,1,1,1,4,2
GZ00142,18,Non-binary,Manitoba,Creative Expressors,Music,Fashion,Brand as identity,Unique purchases,4.1,6,175.56,6,2,4,4,2,5,0,1,9.8,1,1,0,1,7,3
GZ00143,22,Non-binary,British Columbia,Wellness Focused,Mental Health,Fitness,Premium health products,Self-care priority,3.0,8,37.32,4,4,3,2,1,2,1,0,22.8,1,1,0,1,7,1
GZ00144,21,Female,Alberta,Digital Natives,Streaming,Tech,High online shopping,Influencer-driven,3.8,18,81.78,11,1,5,4,1,5,1,0,10.6,0,0,0,0,3,1
GZ00145,25,Non-binary,Manitoba,Experience Seekers,Adventure,Adventure,Spend on experiences,FOMO-driven,2.6,7,130.06,10,1,5,5,2,4,0,1,10.4,1,0,0,1,2,4
