Respondent_ID,Age_Group,Generation,Gender,Region,Income_Level,Urban_Rural,Trust_In_Brands,Price_Sensitivity,Quality_Over_Price,Sustainability_Important,Brand_Loyalty,Try_New_Products,Online_Shopping_Preference,Social_Media_Influence,Canadian_Made_Important,Feel_Good_Purchase,Monthly_Discretionary_Spend,Purchase_Frequency_QSR,Coffee_Shop_Visits_Week,Online_Purchases_Month,Survey_Date,Survey_Method,Response_Quality_Score
R00011,65+,Boomers,Prefer not to say,Quebec,$75k-$100k,Suburban,4,4,5,2,2,2,2,1,5,5,$500-$1000,Daily,4,6,2026-02-06,Online Panel,0.94
R00012,65+,Boomers,Non-binary,Saskatchewan,<$30k,Suburban,5,4,5,2,3,4,2,1,4,4,$500-$1000,Weekly,7,12,2026-01-23,Mobile App,0.81
R00013,55-64,Boomers,Male,Manitoba,$150k+,Rural,3,4,4,2,5,4,2,1,4,5,$100-$250,Monthly,6,4,2026-01-15,Online Panel,0.99
R00014,55-64,Boomers,Non-binary,Territories,<$30k,Urban,4,4,4,2,2,5,2,1,2,3,$100-$250,Daily,0,14,2026-02-08,Mobile App,0.7
R00015,55-64,Boomers,Male,Quebec,$150k+,Suburban,3,4,5,2,2,5,2,1,2,2,$1000+,Rarely,6,4,2026-01-19,Phone,0.89
R00016,55-64,Boomers,Female,Manitoba,$100k-$150k,Rural,4,4,5,3,5,4,2,1,2,3,<$100,2-3x/week,4,13,2026-01-13,Email,0.62
R00017,45-54,Gen X,Non-binary,Territories,$100k-$150k,Suburban,2,4,3,3,5,2,3,2,5,5,$100-$250,2-3x/week,1,15,2026-01-20,Mobile App,0.79
R00018,18-24,Gen Z,Male,Ontario,$30k-$50k,Urban,2,3,3,4,3,2,4,2,3,3,$1000+,Rarely,3,1,2026-01-21,Phone,0.75
R00019,25-34,Millennials,Female,Territories,$30k-$50k,Suburban,3,3,4,3,5,2,2,3,2,5,$100-$250,2-3x/month,0,19,2026-01-17,Phone,0.87
R00020,45-54,Gen X,Male,Quebec,<$30k,Suburban,4,4,5,3,2,2,2,3,4,2,$500-$1000,Monthly,2,0,2026-02-09,Phone,0.86
R00021,25-34,Millennials,Prefer not to say,British Columbia,$50k-$75k,Suburban,4,3,2,4,5,4,4,3,3,3,$1000+,Monthly,2,17,2026-02-07,Online Panel,0.73
R00022,18-24,Gen Z,Male,Quebec,$30k-$50k,Urban,3,3,5,4,2,3,4,3,3,3,$100-$250,2-3x/week,2,8,2026-02-03,Phone,0.65
R00023,18-24,Gen Z,Prefer not to say,Manitoba,$75k-$100k,Suburban,2,3,3,4,2,4,4,3,2,5,$500-$1000,Rarely,0,3,2026-01-31,Phone,0.77
R00024,25-34,Millennials,Female,Manitoba,$30k-$50k,Urban,5,3,5,4,4,2,4,3,5,5,$100-$250,Monthly,0,6,2026-01-17,Phone,0.95
R00025,55-64,Boomers,Female,Ontario,$100k-$150k,Urban,5,4,2,2,4,2,4,1,2,4,<$100,2-3x/month,5,16,2026-01-24,Online Panel,0.8
R00026,55-64,Boomers,Female,Ontario,$100k-$150k,Urban,5,4,2,2,3,2,2,1,4,4,<$100,2-3x/week,3,11,2026-01-12,Email,0.96
R00027,25-34,Millennials,Non-binary,Atlantic,$30k-$50k,Rural,5,3,2,4,4,5,4,3,3,4,$500-$1000,Daily,2,14,2026-01-25,Phone,0.78
R00028,55-64,Boomers,Male,Quebec,$100k-$150k,Urban,4,4,5,2,5,4,2,1,5,2,<$100,2-3x/week,6,12,2026-01-20,Email,0.8
R00029,35-44,Millennials,Female,Territories,$100k-$150k,Rural,4,3,3,4,4,3,4,3,2,4,$1000+,Rarely,2,10,2026-01-23,Email,0.99
R00030,65+,Boomers,Male,British Columbia,$50k-$75k,Urban,2,4,3,2,3,5,2,1,3,4,$1000+,2-3x/week,7,9,2026-02-01,Email,0.93
R00031,25-34,Millennials,Non-binary,Territories,$50k-$75k,Urban,3,4,2,4,2,2,3,3,5,5,$1000+,2-3x/week,0,19,2026-01-24,Email,0.98
R00032,25-34,Millennials,Prefer not to say,Atlantic,$100k-$150k,Urban,2,3,5,4,5,3,4,4,4,4,$1000+,Daily,3,6,2026-01-14,Email,0.7
R00033,55-64,Boomers,Female,Atlantic,$30k-$50k,Urban,4,4,4,2,3,4,2,1,2,2,$100-$250,Weekly,3,19,2026-01-13,Mobile App,0.91
R00034,65+,Boomers,Female,Quebec,$50k-$75k,Rural,4,4,2,2,4,2,2,3,2,5,<$100,2-3x/week,6,16,2026-01-16,Mobile App,0.95
R00035,25-34,Millennials,Prefer not to say,Ontario,$30k-$50k,Rural,3,3,2,4,3,3,4,3,5,2,$1000+,Rarely,4,14,2026-01-20,Mobile App,0.62
R00036,35-44,Millennials,Female,Quebec,$75k-$100k,Urban,2,3,4,2,5,4,4,3,4,5,<$100,Weekly,1,14,2026-02-01,Mobile App,0.69
R00037,25-34,Millennials,Male,Alberta,$75k-$100k,Suburban,4,5,2,2,3,3,4,3,5,4,<$100,Monthly,2,11,2026-01-31,Phone,0.98
R00038,65+,Boomers,Non-binary,Ontario,<$30k,Suburban,5,4,5,2,5,5,2,4,3,5,$500-$1000,2-3x/month,1,7,2026-01-15,Email,0.69
R00039,65+,Boomers,Non-binary,Atlantic,$100k-$150k,Rural,5,3,2,2,5,5,4,2,4,2,<$100,2-3x/month,0,19,2026-01-28,Online Panel,0.87
R00040,55-64,Boomers,Female,Saskatchewan,$75k-$100k,Urban,2,4,2,2,3,4,2,1,2,3,$100-$250,Daily,2,4,2026-01-26,Email,0.97
R00041,55-64,Boomers,Non-binary,Atlantic,$50k-$75k,Suburban,3,4,5,2,3,3,4,1,2,2,<$100,2-3x/month,5,0,2026-01-23,Mobile App,0.99
R00042,55-64,Boomers,Non-binary,Atlantic,$100k-$150k,Urban,2,4,4,2,3,4,2,1,2,3,$250-$500,Weekly,2,16,2026-01-28,Phone,0.63
R00043,45-54,Gen X,Prefer not to say,Alberta,$100k-$150k,Suburban,2,4,4,3,4,2,3,2,2,5,$500-$1000,Weekly,0,4,2026-02-05,Email,1.0
R00044,18-24,Gen Z,Female,Manitoba,$30k-$50k,Urban,2,5,2,2,2,3,4,3,3,4,<$100,Daily,4,13,2026-02-01,Phone,0.65
R00045,45-54,Gen X,Female,Atlantic,$75k-$100k,Suburban,4,3,2,3,5,3,2,2,2,5,$100-$250,Daily,3,7,2026-02-03,Phone,0.87
R00046,25-34,Millennials,Female,Territories,<$30k,Rural,3,4,3,4,4,4,4,3,3,5,<$100,Rarely,5,11,2026-02-05,Email,0.64
R00047,45-54,Gen X,Prefer not to say,Territories,$30k-$50k,Rural,4,4,2,3,2,5,3,2,4,4,$1000+,Weekly,4,13,2026-02-08,Phone,0.92
R00048,65+,Boomers,Female,Manitoba,$75k-$100k,Urban,4,4,3,3,3,3,2,1,3,3,$250-$500,Daily,2,1,2026-01-21,Mobile App,0.82
R00049,25-34,Millennials,Female,Atlantic,$150k+,Urban,2,3,5,4,5,3,4,3,4,3,$250-$500,2-3x/month,0,4,2026-01-12,Online Panel,0.66
R00050,25-34,Millennials,Prefer not to say,Atlantic,$100k-$150k,Rural,5,3,3,4,2,5,4,3,5,5,$1000+,Weekly,1,5,2026-01-20,Email,0.74
R00051,45-54,Gen X,Prefer not to say,Alberta,$75k-$100k,Urban,3,5,4,3,5,4,3,2,4,4,<$100,2-3x/month,6,15,2026-01-30,Mobile App,0.66
R00052,45-54,Gen X,Female,Ontario,$75k-$100k,Rural,5,4,5,2,4,5,3,3,4,2,$100-$250,2-3x/month,4,18,2026-01-22,Mobile App,0.93
R00053,18-24,Gen Z,Non-binary,Atlantic,$50k-$75k,Urban,3,3,5,3,2,3,4,1,3,2,$1000+,2-3x/month,0,11,2026-01-15,Email,0.96
R00054,18-24,Gen Z,Prefer not to say,Ontario,$150k+,Rural,2,4,3,4,2,4,2,2,2,4,<$100,Rarely,5,14,2026-01-17,Online Panel,0.95
R00055,18-24,Gen Z,Female,Alberta,<$30k,Rural,4,3,2,3,5,2,4,3,5,2,$250-$500,2-3x/week,4,19,2026-01-26,Phone,0.81
R00056,65+,Boomers,Non-binary,Saskatchewan,$30k-$50k,Rural,5,4,3,2,3,3,4,1,3,5,$100-$250,Weekly,4,13,2026-01-14,Online Panel,0.7
R00057,55-64,Boomers,Male,Manitoba,$100k-$150k,Rural,4,4,4,4,4,3,2,3,4,5,$1000+,Monthly,1,5,2026-02-07,Mobile App,0.76
R00058,18-24,Gen Z,Non-binary,Quebec,$100k-$150k,Urban,5,3,2,4,4,2,4,3,5,3,<$100,Weekly,0,6,2026-01-19,Online Panel,0.73
R00059,45-54,Gen X,Prefer not to say,Quebec,$75k-$100k,Suburban,5,4,2,3,2,2,3,2,5,2,$500-$1000,Rarely,1,2,2026-02-01,Email,0.8
R00060,55-64,Boomers,Prefer not to say,Territories,$75k-$100k,Rural,4,4,5,4,3,3,4,1,5,5,<$100,Weekly,3,18,2026-01-31,Phone,0.71
R00061,25-34,Millennials,Prefer not to say,Atlantic,$50k-$75k,Urban,3,3,5,3,5,3,4,3,5,4,$1000+,Weekly,5,4,2026-01-16,Email,0.69
R00062,35-44,Millennials,Non-binary,Ontario,$100k-$150k,Urban,3,3,3,4,3,4,4,3,5,5,$250-$500,Rarely,5,8,2026-01-18,Phone,0.62
R00063,65+,Boomers,Prefer not to say,Territories,<$30k,Urban,4,3,5,2,5,4,3,1,3,5,$500-$1000,Weekly,2,3,2026-01-26,Phone,0.93
R00064,55-64,Boomers,Non-binary,Atlantic,$150k+,Rural,2,4,3,2,5,3,4,2,2,3,$250-$500,Daily,7,18,2026-01-28,Mobile App,0.91
R00065,35-44,Millennials,Male,British Columbia,$30k-$50k,Urban,3,3,3,3,5,4,4,3,5,2,$500-$1000,Monthly,0,11,2026-01-26,Email,0.88
R00066,18-24,Gen Z,Female,Manitoba,$30k-$50k,Suburban,3,4,2,3,4,4,4,4,2,4,$250-$500,Daily,0,5,2026-01-23,Email,0.78
R00067,65+,Boomers,Female,Territories,<$30k,Urban,2,4,4,2,3,5,2,2,2,5,$100-$250,Daily,3,0,2026-02-05,Email,0.6
R00068,45-54,Gen X,Male,Quebec,$75k-$100k,Suburban,2,5,4,3,5,3,4,3,3,4,<$100,Monthly,4,11,2026-01-23,Email,0.65
R00069,18-24,Gen Z,Female,Quebec,$100k-$150k,Suburban,5,3,4,4,2,3,4,3,4,2,$500-$1000,2-3x/month,7,7,2026-01-30,Phone,0.92
R00070,35-44,Millennials,Prefer not to say,Manitoba,$100k-$150k,Rural,3,4,4,4,2,2,2,3,4,4,$100-$250,Rarely,5,3,2026-01-16,Mobile App,0.95
R00071,35-44,Millennials,Male,British Columbia,$30k-$50k,Urban,2,3,3,4,5,3,4,3,5,4,$1000+,2-3x/month,5,0,2026-01-18,Email,0.78
R00072,18-24,Gen Z,Female,Manitoba,$150k+,Suburban,2,3,2,4,2,2,4,3,4,4,$100-$250,Rarely,5,7,2026-02-02,Mobile App,0.85
R00073,45-54,Gen X,Male,Alberta,$150k+,Urban,4,4,3,3,3,4,4,3,5,3,$500-$1000,Weekly,6,14,2026-01-12,Email,0.8
R00074,45-54,Gen X,Male,Territories,$150k+,Suburban,3,4,4,3,4,5,3,2,2,3,<$100,Daily,0,4,2026-01-14,Online Panel,0.9
R00075,45-54,Gen X,Non-binary,Manitoba,<$30k,Urban,3,4,3,3,3,2,3,2,4,3,<$100,Daily,5,5,2026-01-28,Email,0.64
R00076,55-64,Boomers,Male,British Columbia,$75k-$100k,Rural,5,4,2,2,5,5,4,1,2,5,$1000+,Rarely,4,14,2026-02-06,Phone,0.89
R00077,18-24,Gen Z,Prefer not to say,Saskatchewan,$75k-$100k,Suburban,3,3,4,4,4,4,3,3,4,4,$1000+,2-3x/month,3,10,2026-01-11,Email,0.96
R00078,65+,Boomers,Prefer not to say,Ontario,$75k-$100k,Urban,3,4,3,4,4,3,2,1,3,4,$500-$1000,Monthly,1,12,2026-02-02,Online Panel,0.8
R00079,65+,Boomers,Prefer not to say,Atlantic,<$30k,Urban,2,4,2,2,4,5,2,1,5,4,$500-$1000,Daily,3,3,2026-01-25,Mobile App,0.88
R00080,35-44,Millennials,Female,Manitoba,$75k-$100k,Rural,5,3,2,4,3,2,4,3,5,4,$100-$250,Rarely,0,18,2026-01-12,Mobile App,0.64
R00081,35-44,Millennials,Male,Atlantic,<$30k,Urban,2,3,3,4,4,4,4,1,3,2,$1000+,2-3x/week,1,13,2026-02-06,Phone,0.65
R00082,65+,Boomers,Non-binary,Manitoba,$75k-$100k,Suburban,2,4,2,4,3,4,2,3,5,4,$1000+,Monthly,6,8,2026-01-20,Mobile App,0.73
R00083,18-24,Gen Z,Non-binary,Atlantic,$50k-$75k,Rural,5,3,2,3,2,4,4,3,4,5,<$100,Monthly,1,10,2026-02-04,Phone,0.74
R00084,25-34,Millennials,Prefer not to say,Territories,$50k-$75k,Suburban,3,3,4,4,3,4,4,1,5,4,$250-$500,2-3x/week,3,18,2026-01-19,Mobile App,0.67
R00085,55-64,Boomers,Prefer not to say,Alberta,$75k-$100k,Urban,4,4,5,2,3,2,2,4,2,2,$1000+,Rarely,6,10,2026-01-19,Mobile App,0.69
R00086,45-54,Gen X,Male,British Columbia,$100k-$150k,Rural,3,4,2,2,4,2,3,4,2,2,$500-$1000,2-3x/month,5,7,2026-01-24,Online Panel,0.72
R00087,65+,Boomers,Female,Atlantic,$150k+,Urban,5,3,3,2,4,4,4,1,5,4,$1000+,2-3x/month,0,12,2026-01-12,Online Panel,0.79
R00088,35-44,Millennials,Prefer not to say,Saskatchewan,$150k+,Rural,5,3,4,4,3,2,4,3,3,4,$100-$250,2-3x/week,1,16,2026-01-23,Email,0.8
R00089,25-34,Millennials,Male,Atlantic,<$30k,Rural,4,3,4,2,5,2,4,3,4,5,$100-$250,Daily,1,18,2026-01-27,Online Panel,0.81
R00090,35-44,Millennials,Male,Manitoba,$50k-$75k,Suburban,2,3,4,4,5,5,4,3,3,4,$1000+,2-3x/week,7,0,2026-01-16,Mobile App,0.69
R00091,25-34,Millennials,Male,Atlantic,$100k-$150k,Rural,5,5,4,4,4,2,3,3,2,4,$1000+,Weekly,2,18,2026-02-09,Phone,0.82
R00092,35-44,Millennials,Male,Territories,$50k-$75k,Rural,5,3,3,4,5,5,4,3,3,5,$250-$500,Weekly,7,3,2026-01-21,Phone,0.87
R00093,65+,Boomers,Non-binary,Territories,$50k-$75k,Urban,2,4,3,2,4,4,3,3,3,4,<$100,Weekly,6,18,2026-01-25,Email,0.67
R00094,65+,Boomers,Non-binary,Ontario,$150k+,Suburban,5,3,5,2,3,3,2,1,2,4,$1000+,Daily,3,10,2026-01-31,Phone,0.93
R00095,35-44,Millennials,Female,Saskatchewan,$30k-$50k,Rural,4,5,4,2,2,3,4,3,5,3,<$100,Rarely,1,11,2026-02-07,Mobile App,0.98
R00096,65+,Boomers,Male,Ontario,$50k-$75k,Suburban,3,3,3,3,5,4,3,1,4,5,<$100,Weekly,1,18,2026-01-24,Phone,0.71
R00097,25-34,Millennials,Female,British Columbia,$100k-$150k,Suburban,5,3,3,4,2,2,4,3,2,3,$250-$500,2-3x/month,5,3,2026-01-15,Email,0.81
R00098,65+,Boomers,Non-binary,Quebec,$75k-$100k,Urban,2,4,4,2,2,4,2,1,3,3,$1000+,2-3x/month,1,3,2026-02-01,Email,0.71
R00099,18-24,Gen Z,Prefer not to say,Ontario,$50k-$75k,Rural,2,3,2,3,3,5,4,3,2,3,$1000+,2-3x/month,2,5,2026-01-14,Email,0.84
R00100,18-24,Gen Z,Female,Territories,<$30k,Rural,5,3,2,4,2,2,4,3,3,2,<$100,Daily,1,13,2026-02-08,Phone,0.67
R00101,65+,Boomers,Non-binary,Atlantic,<$30k,Urban,4,3,4,2,5,4,2,2,2,2,$250-$500,2-3x/week,7,10,2026-02-06,Mobile App,0.89
R00102,45-54,Gen X,Prefer not to say,Saskatchewan,$150k+,Rural,4,4,5,3,4,3,3,2,3,4,$1000+,2-3x/month,7,0,2026-01-15,Online Panel,0.61
R00103,45-54,Gen X,Prefer not to say,Manitoba,<$30k,Rural,5,4,4,3,4,5,3,2,4,2,$250-$500,Daily,4,10,2026-02-08,Email,0.85
R00104,55-64,Boomers,Non-binary,Ontario,$75k-$100k,Suburban,3,3,2,2,5,2,2,1,2,2,$1000+,Rarely,2,7,2026-01-31,Mobile App,0.78
R00105,65+,Boomers,Male,Ontario,$50k-$75k,Urban,4,4,4,2,3,2,4,1,3,3,$100-$250,Monthly,3,18,2026-02-05,Mobile App,0.64
R00106,55-64,Boomers,Female,Alberta,$50k-$75k,Urban,4,4,2,2,2,2,3,1,2,4,<$100,2-3x/week,6,11,2026-01-11,Email,0.98
R00107,25-34,Millennials,Male,Ontario,$30k-$50k,Urban,4,3,5,4,4,2,4,1,4,2,<$100,Weekly,1,11,2026-01-26,Online Panel,0.88
R00108,25-34,Millennials,Prefer not to say,Quebec,$150k+,Urban,2,3,2,4,3,4,4,4,3,5,<$100,Monthly,6,6,2026-01-27,Mobile App,0.65
R00109,55-64,Boomers,Male,Manitoba,$75k-$100k,Rural,4,4,2,4,5,5,2,1,3,4,$1000+,Rarely,1,19,2026-02-03,Online Panel,0.78
R00110,45-54,Gen X,Prefer not to say,Quebec,<$30k,Suburban,4,4,3,4,2,3,4,2,5,4,$500-$1000,Monthly,3,12,2026-02-08,Email,0.95
R00111,45-54,Gen X,Non-binary,Territories,$100k-$150k,Rural,4,4,5,3,3,4,4,2,5,4,<$100,Monthly,3,12,2026-01-23,Mobile App,0.81
R00112,45-54,Gen X,Prefer not to say,Alberta,$75k-$100k,Suburban,2,4,3,3,3,4,3,3,3,3,$250-$500,Weekly,6,12,2026-01-28,Email,0.75
R00113,35-44,Millennials,Female,Territories,<$30k,Urban,5,3,4,4,4,3,2,3,3,2,$1000+,2-3x/week,5,11,2026-01-16,Online Panel,0.83
R00114,55-64,Boomers,Non-binary,Quebec,$75k-$100k,Suburban,5,4,4,2,2,3,2,1,3,2,$500-$1000,Daily,4,0,2026-01-11,Email,0.6
R00115,55-64,Boomers,Non-binary,Saskatchewan,<$30k,Rural,2,4,3,3,3,5,2,1,3,3,$1000+,Weekly,0,15,2026-02-09,Email,0.96
R00116,18-24,Gen Z,Non-binary,Alberta,$75k-$100k,Rural,4,3,2,4,4,2,4,3,2,5,$500-$1000,Daily,3,4,2026-01-12,Email,0.7
R00117,18-24,Gen Z,Female,Manitoba,$150k+,Suburban,5,3,3,4,5,4,3,4,4,3,$1000+,Rarely,1,6,2026-01-21,Phone,0.63
R00118,18-24,Gen Z,Female,Ontario,<$30k,Rural,5,3,5,2,4,3,4,1,4,2,$100-$250,Weekly,2,1,2026-01-16,Email,0.69
R00119,55-64,Boomers,Male,Ontario,$30k-$50k,Urban,2,4,3,4,5,3,2,1,2,3,<$100,2-3x/month,0,2,2026-01-21,Phone,1.0
R00120,55-64,Boomers,Prefer not to say,Atlantic,$50k-$75k,Urban,2,4,4,3,4,3,2,2,3,2,$250-$500,Rarely,7,2,2026-02-04,Phone,0.85
R00121,55-64,Boomers,Non-binary,Ontario,$30k-$50k,Suburban,2,4,4,2,2,5,3,1,2,3,$250-$500,2-3x/week,0,2,2026-01-14,Email,0.65
R00122,35-44,Millennials,Non-binary,Quebec,<$30k,Suburban,2,3,4,2,3,5,4,3,3,2,<$100,Monthly,4,10,2026-01-14,Email,0.71
R00123,18-24,Gen Z,Prefer not to say,Ontario,$75k-$100k,Urban,5,3,4,3,5,4,4,3,2,5,$100-$250,2-3x/month,1,5,2026-02-05,Phone,0.69
R00124,35-44,Millennials,Male,Atlantic,<$30k,Suburban,2,3,2,4,2,3,4,3,5,2,$1000+,Weekly,2,2,2026-01-17,Online Panel,0.86
R00125,45-54,Gen X,Male,Alberta,$75k-$100k,Rural,5,4,4,2,2,2,3,2,3,5,$250-$500,2-3x/week,7,7,2026-01-13,Email,0.94
R00126,25-34,Millennials,Male,Quebec,$100k-$150k,Rural,4,3,2,4,4,2,4,3,2,2,$100-$250,Rarely,3,5,2026-01-13,Mobile App,0.66
R00127,25-34,Millennials,Male,British Columbia,$50k-$75k,Urban,4,3,3,2,4,4,4,3,3,3,$250-$500,Rarely,4,6,2026-01-23,Phone,0.93
R00128,45-54,Gen X,Prefer not to say,Saskatchewan,$150k+,Suburban,3,3,2,4,3,5,3,1,3,4,<$100,Weekly,0,16,2026-02-02,Online Panel,0.7
R00129,35-44,Millennials,Male,Manitoba,$75k-$100k,Suburban,5,3,4,3,4,3,4,3,3,2,$100-$250,Daily,6,14,2026-01-11,Phone,0.9
R00130,45-54,Gen X,Male,Territories,$100k-$150k,Rural,3,4,5,3,4,5,3,2,2,5,<$100,2-3x/month,1,0,2026-01-19,Online Panel,0.85
R00131,35-44,Millennials,Male,British Columbia,<$30k,Urban,4,3,3,4,3,3,4,3,5,4,$1000+,Weekly,3,3,2026-01-14,Email,0.65
R00132,35-44,Millennials,Prefer not to say,Atlantic,$50k-$75k,Rural,2,3,5,4,4,2,4,3,2,3,$250-$500,Daily,2,1,2026-01-27,Phone,0.79
R00133,35-44,Millennials,Non-binary,British Columbia,$50k-$75k,Urban,5,3,2,4,2,2,4,3,4,4,$1000+,Rarely,4,10,2026-01-21,Phone,0.94
R00134,25-34,Millennials,Male,Manitoba,$100k-$150k,Suburban,4,3,3,3,4,4,4,3,2,3,$500-$1000,Rarely,7,14,2026-01-25,Online Panel,0.94
R00135,65+,Boomers,Prefer not to say,Saskatchewan,<$30k,Suburban,5,4,3,2,4,2,2,1,2,4,$250-$500,2-3x/week,0,5,2026-01-26,Mobile App,0.9
R00136,25-34,Millennials,Female,Quebec,$50k-$75k,Urban,4,3,5,4,2,2,4,3,5,5,$100-$250,Rarely,6,11,2026-01-25,Email,0.82
R00137,55-64,Boomers,Female,Atlantic,$30k-$50k,Urban,5,4,2,2,2,2,2,1,2,5,$250-$500,Rarely,5,17,2026-01-21,Phone,0.61
R00138,18-24,Gen Z,Prefer not to say,Saskatchewan,$150k+,Rural,2,3,5,4,5,3,4,3,5,3,<$100,2-3x/month,5,13,2026-02-03,Mobile App,0.65
R00139,55-64,Boomers,Female,Manitoba,$75k-$100k,Urban,5,4,5,2,5,2,2,1,3,5,<$100,Weekly,3,1,2026-01-17,Phone,0.77
R00140,55-64,Boomers,Prefer not to say,British Columbia,$30k-$50k,Rural,5,3,2,2,3,3,2,1,5,3,$250-$500,Monthly,4,0,2026-01-13,Online Panel,0.91
R00141,65+,Boomers,Male,Manitoba,<$30k,Urban,5,5,3,2,4,5,2,1,2,5,<$100,2-3x/week,5,14,2026-01-25,Phone,0.79
R00142,35-44,Millennials,Male,Atlantic,<$30k,Suburban,5,3,5,2,3,5,4,4,3,5,<$100,Daily,1,0,2026-02-09,Email,0.95
R00143,18-24,Gen Z,Non-binary,British Columbia,$30k-$50k,Urban,3,3,2,4,5,3,4,2,4,3,$100-$250,Rarely,5,17,2026-01-26,Phone,0.68
R00144,45-54,Gen X,Male,Quebec,<$30k,Suburban,4,3,5,4,2,4,3,2,4,3,<$100,2-3x/month,5,8,2026-02-03,Online Panel,0.85
R00145,35-44,Millennials,Female,Manitoba,<$30k,Urban,2,4,5,4,5,5,4,2,5,3,$500-$1000,2-3x/month,5,14,2026-01-14,Online Panel,0.79
R00146,65+,Boomers,Female,British Columbia,$50k-$75k,Suburban,4,4,3,3,3,4,2,3,4,2,$500-$1000,Rarely,1,13,2026-01-30,Online Panel,0.89
R00147,55-64,Boomers,Non-binary,Quebec,$100k-$150k,Rural,5,4,4,2,5,2,2,1,2,4,$100-$250,2-3x/month,2,13,2026-02-06,Online Panel,0.9
R00148,65+,Boomers,Prefer not to say,Saskatchewan,$50k-$75k,Rural,2,5,2,2,4,5,2,1,4,5,$100-$250,Rarely,5,17,2026-01-22,Online Panel,0.69
R00149,55-64,Boomers,Non-binary,British Columbia,<$30k,Suburban,5,4,5,2,2,4,4,1,5,3,$250-$500,2-3x/month,2,14,2026-02-09,Phone,0.94
R00150,65+,Boomers,Female,British Columbia,<$30k,Rural,2,4,3,2,2,4,3,1,5,5,$1000+,2-3x/week,3,11,2026-01-11,Online Panel,1.0
R00151,35-44,Millennials,Non-binary,Atlantic,$100k-$150k,Suburban,5,4,2,4,4,5,2,4,3,2,$100-$250,Daily,7,3,2026-02-08,Email,0.84
R00152,35-44,Millennials,Male,Saskatchewan,$75k-$100k,Suburban,5,3,3,4,4,3,4,3,4,4,$100-$250,2-3x/month,5,11,2026-02-07,Phone,0.85
R00153,35-44,Millennials,Non-binary,Quebec,$150k+,Suburban,5,3,4,4,2,4,4,3,3,5,$500-$1000,Weekly,7,9,2026-01-29,Online Panel,0.75
R00154,18-24,Gen Z,Non-binary,Manitoba,$50k-$75k,Suburban,3,3,4,4,2,2,4,2,2,2,$500-$1000,Daily,4,14,2026-01-27,Email,0.81
R00155,55-64,Boomers,Prefer not to say,Manitoba,$150k+,Urban,2,4,4,2,3,2,2,1,4,2,<$100,Rarely,3,1,2026-02-07,Mobile App,0.86
R00156,18-24,Gen Z,Female,Territories,<$30k,Urban,4,3,5,4,5,5,4,4,2,4,$250-$500,Monthly,1,2,2026-01-19,Online Panel,0.67
R00157,55-64,Boomers,Female,Territories,$50k-$75k,Suburban,3,4,2,3,5,3,2,1,2,5,$250-$500,Weekly,3,0,2026-01-16,Email,0.67
R00158,25-34,Millennials,Male,Ontario,$150k+,Urban,5,3,5,2,4,2,4,3,2,5,$1000+,Weekly,0,16,2026-01-17,Phone,0.92
